,Combined Description Cleaned,Assignment group,LabelEncodings
158,wy printer received from please note some continuous printing is happening in wy the print not given locally arrange to cancel same immediately as lot of paper getting wasted,GRP_0,0
159,update viewer received from dear all is not working any more i need access to view in assume best,GRP_0,0
161,is currently high utilization please investigate we are observing below alert in tool,GRP_14,6
162,access to be received from hello till last week i was portal and there were no starting this the system is incredibly slow when log in finally does not allow me any can it be issue with maintenance or my rather should try different way below print screen from what see after in am also able get finance see below however click profitability analysis as always doing separate window open apart that blank appreciate your support have a great day director manager cee mob company polska z w wild pod plan nip,GRP_0,0
163,account lockout,GRP_0,0
164,withdrawn ticket no added received from windy shi will withdraw the ticket no added this message is for use of only and it may contain content that licensed confidential from disclosure under applicable except strictly anyone else to spread distribute or copy this message if you have by mistake please notify sender delete select following link view disclaimer in an alternate language,GRP_0,0
165,account locked in,GRP_0,0
167,user needs training to use engineering tool view connected the system help and educated on how login business client issue resolved,GRP_0,0
168,not working received from hello i am unable to access the password is showing error,GRP_0,0
169,account unlock request,GRP_0,0
170,urgent delivery note creation request received from hello it team could you please generate for below order we cannot issue so despite of enough stock all at shipping plant plant plant point,GRP_18,10
173,error login on to the system,GRP_0,0
174,unable to take print out from wy,GRP_19,11
175,job job in job schedule at received from,GRP_12,4
176,unlock supply chain account received from hi there would you please help me my and reset password,GRP_0,0
177,unable to access password management tool id password manager i try change now my attached but this do not work was out of office for vacation time until now link work please help your in days the requirement every days data security within company login a guide on tool is available here do not reply if you require assistance submit ticket global support center via any these ticketing tool kind,GRP_2,12
178,job fail in job schedule at received from,GRP_5,45
179,unable to login,GRP_0,0
180,license for user from sent am to subject hello is not in my please support me on this,GRP_19,11
181,unable to connect,GRP_19,11
184,apply for mobile phone access to mail box,GRP_0,0
185,data not correctly for all the in travel tool interface,GRP_20,13
186,electromechanical shipment notification setting from sent am to subject re dear help to update customer shipment notification address b,GRP_18,10
187,to recover folder that by mistake copied x drive i want,GRP_0,0
189,network outage site hard down since at on no backup circuit what type of x network circuit power please specify outage top no when did it start maintenance power no company power provider network no maint does have a circuit no active na contact notified na remote dialing na equipment reset na working na vendor ticket global vendor vendor na additional diagnostics,GRP_8,72
190,password reset request,GRP_0,0
191,user is not able to see all text in on his,GRP_0,0
193,unable to sync all in outlook on,GRP_0,0
194,tab does not appear on outlook,GRP_0,0
195,unable to submit expense report as it is locked by user,GRP_0,0
197,i need to approve the new product below,GRP_21,14
199,wallpaper,GRP_0,0
200,unable to open language explorer customer number summary benefit advisor will not run in my browser,GRP_0,0
201,assign and e license to use profile like,GRP_22,15
202,sound received from good afternoon i am again with my notebook in that cannot get any and participate,GRP_0,0
203,need the to submit insurance,GRP_0,0
204,query on external browser,GRP_0,0
205,unable to access and other in tool one time time,GRP_2,12
206,unable to see the current course in ethics user id,GRP_23,16
207,user on driver update manually and then after the machine he is a error received an fatal error,GRP_0,0
208,account unlock,GRP_0,0
210,telephone number update,GRP_0,0
211,insurance information,GRP_0,0
212,please give access to tool and map him team as an ae in the virtual table,GRP_2,12
213,loud noise so,GRP_0,0
214,ess kiosk user password reset,GRP_0,0
215,network outage warehouse node is down am what type of outage x network circuit power please specify outage top site no when did it start am maintenance power no company power provider network no maint does have a backup circuit no active no contact notified remote dialing equipment reset working on vendor ticket global vendor vendor additional diagnostics,GRP_8,72
216,aw ticket no added received from hi i have in and it works now correctly the accounting were automatically without any am change best,GRP_18,10
218,export shipment of grinding machine to advance information received from sent to subject machine we are for an tomorrow this is just your information once everything in place will seek support help us clearing consignment tomorrow,GRP_0,0
219,please add my work phone number to profile contact,GRP_0,0
220,to,GRP_0,0
221,issue on,GRP_19,11
222,support for,GRP_24,17
223,with hello it again the hung up again and only me a blue screen white what can we do,GRP_24,17
224,job eu tool notch in job schedule at received from,GRP_8,72
225,eu tool when confirmation are not able to remove scrap that have been rectified in,GRP_25,18
226,enable active directory account summary need,GRP_2,12
227,sync issue,GRP_0,0
228,explorer user is with his explorer the page refreshing and up a all error,GRP_3,23
230,blank call,GRP_0,0
231,unable to view,GRP_0,0
232,customer not getting order automatically received from two have been the like they for past both are under same top pare not and should be sending to since th them can someone look into this this is affecting paying as use a receiver so pay bill senior engineer company,GRP_13,5
233,production order locked is locked by user no one been able to unlock can this be unlocked inspection lot being,GRP_14,6
234,i need access to finance section of hub received from could always get into the section and now cannot access please regional controller,GRP_16,8
236,received the message below can you tell me from whom was sent,GRP_26,19
237,address confirmation,GRP_0,0
238,pi and connectivity issue certificate renewal hi all we have a issue between due to on azure that is not yet side issue data area data partner are being from worked with it vice in prod dev start time th when customer master team the prospect account did not come into still status which basically they by target system upon some log analysis trying identify root cause pi basis its been production environment since around same behavior tool of other nonproduction as well you can find error system mail chain cause it for th sept expiration date th but new they even aware this change so got broken next need chain be sent so update whom i reach out do an house or want me open case once received maybe first then confirmation works apply,GRP_14,6
239,printer problem issue information please complete all below if not it will be returned back to the requester provide review ticket not able resolve then assign appropriate group per your assignment name make model ex wy detailed description of error i need and install a driver from computer print type printing excel word tool delivery note production what system or application being used at time problem printing all does respond ping command on network power cycle been sure this system which system its an can output another temporarily too document is correctly scan copy attach ticketing tool ticket,GRP_3,23
240,power outage site hard down since at am on what type of outage x network circuit power please specify outage top no when did it start am maintenance power no company provider network no maint does have a backup circuit yes active no contact notified na remote dialing na equipment reset na working na vendor ticket global vendor vendor global na additional diagnostics,GRP_8,72
241,unable to log into received from hello team i am my account even the correct password id not accepted need resolution on very urgent basis,GRP_0,0
243,activate set up a spare company cause the old one was broken agreement and approval is attached now his account could you please new device,GRP_0,0
245,unable to print printer welcome our next available agent will be with you shortly interaction agent visitor the conversation hi,GRP_0,0
247,outlook welcome our next available agent will be with you shortly interaction agent visitor the conversation hello hi hello,GRP_27,20
248,need file on t drive welcome our next available agent will be with you shortly interaction agent visitor the conversation hello,GRP_0,0
249,balancing error welcome our next available agent will be with you shortly interaction agent visitor the conversation toss hi,GRP_0,0
250,unable to login language explorer customer number problem in,GRP_27,20
251,reset the password for on please new to manager,GRP_0,0
252,password reset for received from hello please unlock and my system,GRP_0,0
253,client license and is now in mode eagle,GRP_28,21
254,outbound not possible via system inbound are working fine please check,GRP_28,21
255,with drive z,GRP_24,17
256,also extend to my user account need create for both,GRP_29,22
257,the to can not be for received from dear it would you help to check to this,GRP_18,10
258,try to open a excel file with but not work name language explorer customer number,GRP_0,0
260,have been unable to access my tab for several days on a time clock what do i need rest from sent am to subject re time dear,GRP_0,0
261,business client not working,GRP_0,0
262,tool hand error received from hi i want to set a filter in with data source publish billing billing s am getting below message,GRP_9,73
264,please reset my and be password seem to by not synchronized thanks received from director finance business company,GRP_0,0
265,no longer works received from hello or i can open it with best,GRP_0,0
266,a for effective been,GRP_2,12
268,outlook setting is,GRP_0,0
270,new password for account name this no longer works employee is present on early shift in and,GRP_0,0
271,check status tab is not in screen button seen my,GRP_0,0
272,printer problem issue information scanner em can no longer find path,GRP_0,0
273,unable to open while in office without logging remote i am login it balancing error,GRP_0,0
275,meeting received from hello provide me immediately the presently it is not best,GRP_0,0
276,outlook the folder in box and becomes a every day office to update,GRP_30,24
277,can not login received from dear it i the would you help to check it,GRP_31,25
278,os been as unavailable via ers and you may have no connectivity,GRP_12,4
279,unable to create can print but cannot post detail information see attachment please provide the following what order number material or item warehouse location plant issue description error message attachment,GRP_6,56
281,unable to ethics module from sent am to down load begin message subject hi trust doing well i getting below did reset resolution however still same issue persist please help director of company indirect,GRP_0,0
282,company to private received from all please help set up the access my own cell phone best,GRP_0,0
283,network outage site hard down since at no backup circuit what type of x network circuit power please specify outage top no when did it start maintenance power no company power provider network maint does have a circuit no active na contact notified remote dialing na equipment reset na working on na vendor ticket global vendor vendor vendor additional diagnostics,GRP_8,72
284,unable to log in ess,GRP_0,0
285,error while logging in,GRP_0,0
286,transfer installation,GRP_0,0
287,unable to access tab,GRP_0,0
288,is very slow any bog i open choppy flicker,GRP_0,0
290,running full production and need update out for several th we will be,GRP_5,45
291,and went down at on,GRP_8,72
292,need password reset,GRP_0,0
293,with viewer on for,GRP_0,0
294,engineering not connected to network even though is connected,GRP_0,0
295,received from are issue with outlook and on our phone sent from my best,GRP_0,0
296,need password reset for,GRP_0,0
297,i need security for the and dev of received from to do some general training will access development application dynamics manager global ethics compliance o m f company technology way pa,GRP_22,15
298,internal are unable to discount price file on distributor tool company center center the issue is probably related change made for we need fix as this causing lost external works fine all maintenance aba report team maintain data in and it going be limited all into however function distributor report from that i do not see a problem access also especially seem have already it best,GRP_21,14
299,unable to login collaboration platform,GRP_0,0
300,unable to receive on company provided,GRP_0,0
302,eu tool is very slow,GRP_24,17
303,request to reset password for,GRP_0,0
304,pick up old,GRP_24,17
305,problem lan an we,GRP_24,17
306,support for we,GRP_24,17
307,locked received from hello is out of his computer i am sending this message on behalf please help quality technologist,GRP_0,0
308,unable to connect lan,GRP_0,0
309,install collaboration platform,GRP_0,0
313,cannot access guest sponsor portal receive sponsor internal error when to issue this is the link i was given use,GRP_0,0
314,user needs help to login the company connected system help user confirmed he is now issue resolved,GRP_0,0
315,need to map of,GRP_0,0
317,new team not on bob from ess and manager ess opening the be refer still old data need to reflect are already phone,GRP_9,73
318,font showing very small when to connected the user system corrected size advised check now user confirmed all is fine issue resolved,GRP_0,0
319,reset for v password management tool password reset,GRP_17,9
320,computer in the maintenance is down please fix,GRP_3,23
321,computer is down in the old area please fix for,GRP_3,23
322,user needs new telephony password,GRP_7,67
323,printer connection request to received from hello i want connect my in the following screen shot need permission this from system administrator many,GRP_0,0
324,i cannot get onto the network on my,GRP_3,23
325,login issue login user manager name checked the name in ad and unlocked account advised to check caller confirmed that she was able login issue resolved,GRP_0,0
326,password for the hub unable to login,GRP_0,0
327,please reset my password received from user id,GRP_0,0
328,need to setup guest wi fi access,GRP_0,0
329,trouble and printing received from good day please assist with issue below when to view the commercial tool this blank help kind,GRP_18,10
330,outlook wont open,GRP_3,23
331,engineering tool a long time to load issue is severe especially after everyday talk administration team check on account,GRP_0,0
332,list in outlook cannot see any of the outlook view,GRP_0,0
334,cannot connect to network in access internal drive is working fine a flush reset still multiple affected,GRP_4,34
335,urgent classroom intercom does not work training room,GRP_28,21
336,data back up for,GRP_12,4
337,server at location is down since am on,GRP_12,4
338,trunk card since am on,GRP_8,72
339,blocked account,GRP_0,0
340,unable to sign in the i am not able into with my user name and password it incorrect password but is one always use,GRP_0,0
341,security in no entry source system name user location status no field yes no event below,GRP_3,23
342,opening multiple,GRP_0,0
343,system update for tender procurement received from dear sir we in portal on the following computer computer name service tag no model please do needful and confirm urgent basis with kind,GRP_19,11
344,unable to login account locked out,GRP_0,0
345,urgent access to disconnected received from hi could you please help after an error message server disconnected i cannot make any calendar no from his calendar possible very urgent,GRP_0,0
347,job eu tool in job schedule at received from,GRP_8,72
348,expense report receipt entry screen locking up this is causing with entering especially wherein multiple are,GRP_0,0
349,install eu tool,GRP_24,17
350,access to please provide below drive view the live,GRP_12,4
351,network site is down since met on what type of outage x network circuit power please specify outage top yes when did it start met maintenance power no company power provider network no maint does have a backup circuit no active na contact notified remote dialing equipment reset working vendor ticket global vendor vendor additional diagnostics,GRP_8,72
352,entire location at network is down user mention all the are outlook,GRP_8,72
353,volume c disk is,GRP_12,4
354,talk not received from hello refer the below screen shot warm,GRP_19,11
355,bob load on server is high currently utilization since am,GRP_12,4
356,can not working input the related information also ordered number but check no data help,GRP_29,22
357,eu tool does not update every,GRP_25,18
358,kindly copy the of user id to local folder,GRP_19,11
359,with received from hello the account is currently locked out user cannot log on system please help administrative assistant,GRP_0,0
360,circuit outage carrier is down since am on what type of network x circuit power please specify outage top site no when did it start am maintenance power no company power provider network maint does have a backup yes active yes contact notified remote dialing equipment reset working vendor ticket global vendor vendor additional diagnostics,GRP_8,72
362,does not work error message when try to open the shop shop failure you cannot enter selected shop reason authentication data is missing or was accepted by client catalogue another see attached mail with,GRP_29,22
363,calendar hello please have a look thank you,GRP_33,27
364,need a wireless mouse for my,GRP_28,21
365,label printer no longer,GRP_33,27
367,locked received from hi following user id is locked help,GRP_0,0
368,data cannot be the machine is at a standstill name file are used by do sent saved in zip and format,GRP_2,12
370,training room cannot connect bearer as user in again please refer to implant,GRP_28,21
372,unable to scan after password on password management tool password management tool contact number are not landing in the folder please check,GRP_19,11
374,printer issue your file could not be printed due to an error on e,GRP_3,23
375,engineering record issue for tool cannot attachment detailed,GRP_25,18
376,business client not working received from hello soft ware in my computer with kind,GRP_0,0
377,new password not working in received from hello can you please help me to put my account yesterday i have password which worked some or so then since that it does work suspicion is the was same like past year ago so want log into password management tool manager but without any success s kind,GRP_0,0
378,extend and to my user name thank you need create for those,GRP_29,22
379,setting up my hand set for received from hi it id like to continue receive your support find below reply a and data plan from service provider is setup on mobile device will use this device company yn n replacement of old device y if yes please ensure been removed the delete exchange mail calendar personal device attach approval form by manager ticketing tool ticket setup not contact help with vendor you may also refer section best,GRP_0,0
381,close cost center received from dear all can you help to the of for,GRP_10,2
383,credit memo request approval hello i have to process in my but find none please advise,GRP_13,5
384,engineering tool issue from sent to subject dear please find below the of faced during help me to resolve same,GRP_25,18
385,unable to log in collaboration platform,GRP_0,0
387,unable to pull up on and tab in ess,GRP_0,0
388,reset password,GRP_0,0
389,query regarding logging in to portal,GRP_0,0
390,inquiry on be analysis,GRP_0,0
392,interface on is down since circuit id,GRP_8,72
394,please assist in logging into tool from see attached screen shot he was unable to access his,GRP_2,12
395,outlook freezing on mobile,GRP_0,0
396,configure calendar on phone sync with outlook,GRP_34,28
397,outlook freezing issue,GRP_0,0
398,unable to find on,GRP_0,0
399,tool not working the on page to a screen when i open pay and tab does nothing can view any,GRP_0,0
400,outlook will not open i am unable to outlook getting the error message a new guard page for stack cannot be have tried computer starting in safe mode repair function please advise,GRP_0,0
401,need access to enter forecast for it cost i had and received this at the end of august be gone again by,GRP_35,29
403,node at is down since interface on and,GRP_8,72
404,account lock and need to unlock,GRP_0,0
405,follow up on ticket no,GRP_0,0
406,tool payroll sign in received from time unable to see try access and receive screen below it will not move out of this view best,GRP_0,0
407,password not working received from support to resolve this problem,GRP_0,0
408,not able to enter a project in the lean tracker collaboration platform collaboration platform see attached,GRP_0,0
409,urgent delegation hi i had an associate leave on the at end of his outlook in my but now its gone received that it was collaboration platform do not see anything when click link can have through,GRP_2,12
410,access to retired collaboration platform story as plant manager in i have him request his collaboration platform copy relevant before it is being per below from sent am to subject for business contents will be days should follow up on this see if there are any you may need vice president and general account been from the active directory their days temporary owner of all saved business would like save content beyond day retention period can important another location also contact your administrator reassign ownership owner after days permanently go at,GRP_16,8
411,cannot open excel from and can are slow to or will freeze,GRP_12,4
412,cannot print to under my profile on,GRP_3,23
413,cannot print from with new i was just given,GRP_3,23
414,intermittent wireless issue on,GRP_0,0
415,reset for password management tool password reset complete,GRP_17,9
416,reset the password for on development,GRP_0,0
417,outlook is slow,GRP_0,0
418,does the meter amount of data that can be transferred,GRP_0,0
419,recall incident ticket no been assigned to received from would like recall the message incident,GRP_9,73
421,account locked out id from company to company,GRP_0,0
424,query what license does e license,GRP_0,0
425,unable to login engineering tool,GRP_0,0
426,password change request,GRP_0,0
427,ignore,GRP_36,30
428,reset the password for on production him unable to login system engineering tool,GRP_0,0
429,login information for ess,GRP_0,0
430,reset password for,GRP_0,0
431,unable to login the hub password,GRP_0,0
432,reset for password management tool password reset as per system instruction now i have the password but unable to login,GRP_17,9
433,password unable to login the hub,GRP_0,0
434,password reset for in,GRP_0,0
435,unable to use head phone for,GRP_0,0
436,removing from of requisition approval approval i get repeated for purchase but they have been long ago,GRP_29,22
437,collaboration platform information hello the user accidentally from collaboration platform yesterday is possible recover this information,GRP_16,8
438,collaboration platform site request hello can you add the below to as team i should have ownership edit access,GRP_16,8
439,reset the password for on production after setting a new overall i access too many that,GRP_0,0
440,from plant plant need in the same hello all my colleague and i had tra for future fully acceptance plant too,GRP_2,12
441,with portal,GRP_24,17
442,unable to login password reset,GRP_0,0
443,unable to login password,GRP_0,0
444,unable to join and setup meeting,GRP_0,0
445,in error status please advise reason for and restart,GRP_13,5
446,setup eel third consulting,GRP_24,17
447,employee reactivation s employee computer access is please him back his last day with company,GRP_2,12
448,recurrent network outage every in and both are affected contact,GRP_4,34
449,engineering tool message to all of south after the since that a related server server please see attached message,GRP_14,6
450,please account eel for an auditor is active call back by broadcast to subject re a hello open ticker to help they can do that,GRP_0,0
451,manager in business explorer the following cannot see please check their security and with respect to bob,GRP_9,73
452,reset for password management tool password reset,GRP_17,9
453,with,GRP_24,17
455,replace tape printer we,GRP_24,17
456,primary telephone flow down company eu plant hello from this mail for inform that we have all incoming and external are not running i a to investigate the problem no,GRP_37,31
457,bob access not working received from hello i can now enter but able to look into any see below error when entering space manager company western,GRP_9,73
458,bob access for received from team my are not seeing their team view in global access they need it to pull data analysis can you please reinstall global for,GRP_9,73
459,gone welcome our next available agent will be with you shortly interaction agent visitor the conversation hello need your help my bottom in outlook is hello,GRP_0,0
461,error message user is not in the project release please contact my user id involved at for and was to reinstall client installation kit what already done with below links when i start enter name password receive following,GRP_38,32
463,phone m ex professional is no longer charging connection defective,GRP_33,27
464,please setup user back to at,GRP_0,0
465,change of new not working in cockpit field hello following problem due to necessary on tool for an received order i tried update the cockpit but when saving quote it does work error message cannot be ready input any how solve that did that other before and worked only thing is we have running data case necessary q concerning as above,GRP_13,5
466,user blocked,GRP_33,27
467,in plant no communication to the server forth forth they are sending message,GRP_33,27
469,after the ie browser system it that user been logged out and cannot log in to system,GRP_31,25
470,access to s drive received from hello kindly request give,GRP_12,4
471,kindly add user id to business analytics team in ticketing tool tool,GRP_0,0
473,item missing when save attachment,GRP_31,25
474,is currently high utilization please investigate,GRP_12,4
475,mass to condition table a in,GRP_15,7
476,server active directory in is down since am on,GRP_39,33
477,is blocked now as the user said,GRP_0,0
478,access to received from please give full user for folder in the subject,GRP_12,4
479,the account is blocked now language explorer customer number,GRP_0,0
481,time data for steel are missing since yesterday around all is urgently daily performance level,GRP_33,27
482,network router is down since am on what type of outage x network circuit power please specify outage top site no when did it start maintenance power no company power provider network na maint does have a backup circuit no active na contact notified yes remote dialing equipment reset working vendor ticket global vendor vendor additional diagnostics,GRP_8,72
483,i am unable to open the collaboration platform link by my counterpart language explorer customer number summary platform company inch,GRP_0,0
484,can not reach to password management tool password manager change my language explorer customer number summary,GRP_0,0
485,received from hello add my name in to this team also i need administrative control of since have heading team after left company with kind,GRP_19,11
487,outlook cannot open showing that it cannot create a new stack protection page please provide of the issue hi my computer mailbox be can you help me thank show system error guard share your with me id,GRP_31,25
488,i cannot see the folder of a please help to figure it out,GRP_12,4
490,login issue user manager name checked the name in ad and unlocked account advised to check caller confirmed that he was able login issue resolved,GRP_0,0
491,security month,GRP_0,0
492,outlook stopped cannot receive or send since please check like office have an access that wont work with pacific,GRP_0,0
494,balancing error on user behalf of,GRP_2,12
497,backup on company provided mobile phone,GRP_0,0
498,and ad for please create an the in is to be all,GRP_2,12
499,for training received from please activate the badge below training they need to be active from st at am,GRP_3,23
500,cannot get into missing the tab from enterprise portal which access to so i do not have,GRP_2,12
501,please provide access received from i need to the following path see for approval company plant controller,GRP_16,8
503,unable to login collaboration platform password reset,GRP_0,0
504,all my to phone are going warehouse it is not even ringing,GRP_3,23
505,area selection on not filtering to those in which the account is extended instead it all see attached communication example for,GRP_40,35
506,not station,GRP_3,23
507,trouble to is at remote and,GRP_3,23
508,i cannot log into tried the computer and logging another get a blank screen,GRP_41,36
509,request to reset password for from on behalf of company sent to subject importance high the following user in your organization a be their account first name last consider this validate is authentic before if you have determined that valid request use portal office azure user want let own check out how can enable with just few sincerely message was sent from an unmonitored address please do not reply message,GRP_0,0
510,file server hard drive,GRP_12,4
511,unable to display the expense report,GRP_0,0
513,unlock account the user id hi team could you please case this was extend access for account manager is contact or if have more return me,GRP_2,12
514,unable to login outlook from sent to subject problem with it is again sent from start of message topic hello i cannot,GRP_0,0
515,balancing error in,GRP_2,12
517,the will be used to login company via hello i assume that we need delete this user profile on so please send a ticket team because his account in active directory is not locked manager an password hi can you reset my again last was it does not work cannot at moment,GRP_12,4
